id,startDate,endDate,type,name,regionalScope,temporalScope,nationwide,subdivisions
bff5aa15-d762-471c-b98a-f97a88f02fa3,2020-01-01,2020-01-01,Public,Neujahr,Regional,FullDay,True,
acdc4a9a-3ca7-4629-86a2-2fde04e93e8d,2020-01-06,2020-01-06,Public,Heilige Drei Könige,Regional,FullDay,False,"BW, BY, ST"
6f581921-915c-4a9c-8903-5881d76d1927,2020-03-08,2020-03-08,Public,Internationaler Frauentag,Regional,FullDay,False,BE
aa7998cb-2c2c-4228-9ea7-74a21a1daaf1,2020-04-10,2020-04-10,Public,Karfreitag,Regional,FullDay,True,
da643610-17fb-4447-aeba-c04075cd7c5b,2020-04-12,2020-04-12,Public,Ostersonntag,Regional,FullDay,False,BB
fbc7ffb8-2750-46b9-96e3-d43f6be86d64,2020-04-13,2020-04-13,Public,Ostermontag,Regional,FullDay,True,
c156ae07-bb1f-444f-a4ea-694bc571e1ef,2020-05-01,2020-05-01,Public,Tag der Arbeit,Regional,FullDay,True,
ce9331bc-bb3d-415f-9e15-f2d364ec00f0,2020-05-08,2020-05-08,Public,Tag der Befreiung,Regional,FullDay,False,BE
50d3e2e7-20d9-4852-b072-dd733d4cb18c,2020-05-21,2020-05-21,Public,Christi Himmelfahrt,Regional,FullDay,True,
fed605b2-39ac-46bc-87be-c42410ee2446,2020-05-31,2020-05-31,Public,Pfingstsonntag,Regional,FullDay,False,BB
30bc6858-7e7d-4a0f-9bc0-de506b7a4397,2020-06-01,2020-06-01,Public,Pfingstmontag,Regional,FullDay,True,
4916a671-f043-4d59-a7a7-dee06b3ba356,2020-06-11,2020-06-11,Public,Fronleichnam,Regional,FullDay,False,"BW, BY, RP, HE, NW, SL"
bbddeb37-af4f-45d7-89f8-d81decd0839f,2020-08-08,2020-08-08,Public,Friedensfest,Local,FullDay,False,BY-AU
1ed054a5-9e02-4a5a-8941-43788ceccb63,2020-08-15,2020-08-15,Public,Mariä Himmelfahrt,Regional,FullDay,False,"BY, SL"
852e6da0-7b71-415b-a36f-a12ec5551f57,2020-09-20,2020-09-20,Public,Weltkindertag,Regional,FullDay,False,TH
9ef90361-8436-4e0a-8e28-e6ae55b341b7,2020-10-03,2020-10-03,Public,Tag der Deutschen Einheit,National,FullDay,True,
23c77469-0b90-4edb-9d63-8387b80ebfb5,2020-10-31,2020-10-31,Public,Reformationstag,Regional,FullDay,False,"HH, SH, BB, HB, MV, TH, SN, ST, NI"
0a3e2f1e-4c60-4543-9c0e-2d75484131f9,2020-11-01,2020-11-01,Public,Allerheiligen,Regional,FullDay,False,"BW, BY, RP, NW, SL"
e6b048ef-dc91-41a9-8162-552ed14b413c,2020-11-18,2020-11-18,Public,Buß- und Bettag,Regional,FullDay,False,SN
b7d3d55f-6974-4778-b9fa-444d5a2d35bd,2020-12-25,2020-12-25,Public,1. Weihnachtsfeiertag,Regional,FullDay,True,
3a53bd86-6173-4f60-a676-3f693d02275c,2020-12-26,2020-12-26,Public,2. Weihnachtsfeiertag,Regional,FullDay,True,
4acbb5fb-5d3d-450a-8095-8c322e855272,2021-01-01,2021-01-01,Public,Neujahr,Regional,FullDay,True,
949a10c9-6abc-4088-938d-e16a23d4d746,2021-01-06,2021-01-06,Public,Heilige Drei Könige,Regional,FullDay,False,"BW, BY, ST"
5c28ce65-3bab-413b-ae32-2492eafa319a,2021-03-08,2021-03-08,Public,Internationaler Frauentag,Regional,FullDay,False,BE
3772289c-28e5-4fc9-bb14-4509a026bcec,2021-04-02,2021-04-02,Public,Karfreitag,Regional,FullDay,True,
